Nome da imagem            Identifi Nome da sessão       Sessão# Uso de memór Status          Nome de usuário                                    Tempo de CPU Título da janela                                                         
========================= ======== ================ =========== ============ =============== ================================================== ============ ======================================================================== 
System Idle Process              0 Services                   0          8 K Unknown         AUTORIDADE NT\SISTEMA                                 712:18:59 N/A                                                                      
audiodg.exe                   4912 Services                   0     28.856 K Unknown         N/A                                                     0:00:36 N/A                                                                      
svchost.exe                   4988 Services                   0     27.472 K Unknown         N/A                                                     0:03:06 N/A                                                                      
svchost.exe                   4272 Services                   0     19.120 K Unknown         N/A                                                     0:00:02 N/A                                                                      
vmcompute.exe                 5280 Services                   0     18.528 K Unknown         N/A                                                     0:00:02 N/A                                                                      
spoolsv.exe                   5436 Services                   0     21.392 K Unknown         N/A                                                     0:00:10 N/A                                                                      
NVDisplay.Container.exe       5536 Console                    1     78.576 K Running         N/A                                                     0:00:34 NvSvc                                                                    
svchost.exe                   5544 Services                   0      9.460 K Unknown         N/A                                                     0:00:01 N/A                                                                      
svchost.exe                   5620 Services                   0     32.532 K Unknown         N/A                                                     0:14:02 N/A                                                                      
svchost.exe                   5708 Services                   0     10.020 K Unknown         N/A                                                     0:00:02 N/A                                                                      
WmiPrvSE.exe                  5776 Services                   0     59.064 K Unknown         N/A                                                     6:18:12 N/A                                                                      
agent_ovpnconnect_1701448     5852 Services                   0     13.004 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                   5860 Services                   0     74.756 K Unknown         N/A                                                     0:03:05 N/A                                                                      
AnyDesk.exe                   5872 Services                   0     46.024 K Unknown         N/A                                                     0:00:39 N/A                                                                      
jhi_service.exe               5896 Services                   0      8.484 K Unknown         N/A                                                     0:00:00 N/A                                                                      
KillerAnalyticsService.ex     5920 Services                   0     15.452 K Unknown         N/A                                                     0:00:46 N/A                                                                      
OfficeClickToRun.exe          5928 Services                   0     81.692 K Unknown         N/A                                                     0:00:21 N/A                                                                      
MpDefenderCoreService.exe     5936 Services                   0     38.744 K Unknown         N/A                                                     0:00:11 N/A                                                                      
svchost.exe                   5988 Services                   0     24.728 K Unknown         N/A                                                     0:00:21 N/A                                                                      
esif_uf.exe                   6028 Services                   0      8.536 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                   6060 Services                   0     21.604 K Unknown         N/A                                                     0:00:01 N/A                                                                      
nvcontainer.exe               6072 Services                   0     46.384 K Unknown         N/A                                                     0:00:13 N/A                                                                      
ovpnhelper_service.exe        6088 Services                   0     11.032 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                   6104 Services                   0     70.136 K Unknown         N/A                                                     0:02:05 N/A                                                                      
logioptionsplus_updater.e     6112 Services                   0     49.688 K Unknown         N/A                                                     0:00:12 N/A                                                                      
RtkAudUService64.exe          5328 Services                   0     18.868 K Unknown         N/A                                                     0:00:02 N/A                                                                      
TbtP2pShortcutService.exe     5640 Services                   0      7.632 K Unknown         N/A                                                     0:00:00 N/A                                                                      
RvControlSvc.exe              4060 Services                   0     28.444 K Unknown         N/A                                                     0:00:53 N/A                                                                      
spacedeskService.exe          3996 Services                   0     12.256 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                   6156 Services                   0      7.796 K Unknown         N/A                                                     0:00:02 N/A                                                                      
WMIRegistrationService.ex     6216 Services                   0     16.408 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                   6268 Services                   0     29.672 K Unknown         N/A                                                     0:00:19 N/A                                                                      
